text,label
Hiệu lực của quyết định giám đốc thẩm Quyết định giám đốc thẩm có hiệu lực pháp luật kể từ ngày Hội đồng giám đốc thẩm ra quyết định.,Luật Khác
"Sở hữu của tổ chức chính trị, tổ chức chính trị - xã hội Sở hữu của tổ chức chính trị, tổ chức chính trị - xã hội là sở hữu của tổ chức đó nhằm thực hiện mục đích chung quy định trong điều lệ.",Luật Khác
"3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm: a) Chất thải nguy hại hoặc chất hữu cơ khó phân hủy cần phải loại trừ theo quy định tại Phụ lục A Công ước Stockholm có khối lượng 5.000 kilôgam trở lên; b) Chất thải khác có khối lượng 300.000 kilôgam trở lên. 4. Người phạm tội còn có thể bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm. 5. Pháp nhân thương mại phạm tội quy định tại Điều này, thì bị phạt như sau: a) Phạm tội thuộc trường hợp quy định tại khoản 1 Điều này, thì bị phạt tiền từ 1.000.000.000 đồng đến 3.000.000.000 đồng; b) Phạm tội thuộc trường hợp quy định tại khoản 2 Điều này, thì bị phạt tiền từ 3.000.000.000 đồng đến 5.000.000.000 đồng hoặc tạm đình chỉ hoạt động từ 06 tháng đến 01 năm; c) Phạm tội thuộc trường hợp quy định tại khoản 3 Điều này, thì bị phạt tiền từ 5.000.000.000 đồng đến 7.000.000.000 đồng hoặc bị đình chỉ hoạt động có thời hạn từ 06 tháng đến 03 năm; d) Phạm tội thuộc trường hợp quy định tại Điều 79 của Bộ luật này, thì bị đình chỉ hoạt động vĩnh viễn; đ) Pháp nhân thương mại còn có thể bị phạt tiền từ 100.000.000 đồng đến 500.000.000 đồng, cấm kinh doanh, cấm hoạt động trong một số lĩnh vực nhất định từ 01 năm đến 03 năm.",Luật Thương mại
"1. Kinh doanh dịch vụ hội chợ, triển lãm thương mại là hoạt động thương mại, theo đó thương nhân kinh doanh dịch vụ này cung ứng dịch vụ tổ chức hoặc tham gia hội chợ, triển lãm thương mại cho thương nhân khác để nhận thù lao dịch vụ tổ chức hội chợ, triển lãm thương mại. 2. Hợp đồng dịch vụ tổ chức, tham gia hội chợ, triển lãm thương mại phải được lập thành văn bản hoặc bằng hình thức khác có giá trị pháp lý tương đương.",Luật Thương mại
"Thông báo kết quả việc cấp, tống đạt, thông báo văn bản tố tụng Trường hợp người thực hiện việc cấp, tống đạt, thông báo văn bản tố tụng không phải là Tòa án hoặc cơ quan ban hành văn bản tố tụng hoặc cán bộ của các cơ quan đó thì người thực hiện phải thông báo ngay kết quả việc cấp, tống đạt, thông báo văn bản tố tụng cho Tòa án hoặc cơ quan ban hành văn bản tố tụng đó.",Luật Khác
"Điều kiện làm chủ đầu tư dự án xây dựng nhà ở thương mại 1. Doanh nghiệp, hợp tác xã được thành lập và hoạt động theo quy định của pháp luật Việt Nam. 2. Có vốn pháp định theo quy định của pháp luật kinh doanh bất động sản và có vốn ký quỹ để thực hiện đối với từng dự án theo quy định của pháp luật về đầu tư. 3. Có chức năng kinh doanh bất động sản theo quy định của pháp luật.",Luật Thương mại
"Thế chấp tài sản đang cho thuê Tài sản đang cho thuê cũng có thể được dùng để thế chấp. Hoa lợi, lợi tức thu được từ việc cho thuê tài sản thuộc tài sản thế chấp, nếu có thoả thuận hoặc pháp luật có quy định.",Luật Dân sự
"Chấm dứt hợp đồng thuê nhà ở Hợp đồng thuê nhà ở chấm dứt trong các trường hợp sau đây: 1. Thời hạn thuê đã hết; nếu hợp đồng không xác định thời hạn thuê thì hợp đồng chấm dứt sau sáu tháng, kể từ ngày bên cho thuê báo cho bên thuê biết về việc đòi nhà; 2. Nhà cho thuê không còn; 3. Bên thuê nhà chết và không có ai cùng chung sống; 4. Nhà cho thuê phải phá dỡ do bị hư hỏng nặng có nguy cơ sập đổ hoặc do thực hiện quy hoạch xây dựng của Nhà nước.",Luật Dân sự
"Việc sử dụng đất đô thị vào mục đích quốc phòng, an ninh do Bộ Quốc phòng, Bộ Nội vụ trình Chính phủ quyết định.",Luật Khác
"Tội làm, tàng trữ, vận chuyển, lưu hành tiền giả, ngân phiếu giả, công trái giả 1. Người nào làm, tàng trữ, vận chuyển, lưu hành tiền giả, ngân phiếu giả, công trái giả, thì bị phạt tù từ ba năm đến bảy năm. 2. Phạm tội trong trường hợp nghiêm trọng thì bị phạt tù từ năm năm đến mười hai năm. 3. Phạm tội trong trường hợp rất nghiêm trọng hoặc đặc biệt nghiêm trọng, thì bị phạt tù từ mười năm đến hai mươi năm, tù chung thân hoặc tử hình. 4. Người phạm tội còn có thể bị phạt tiền từ mười triệu đồng đến một trăm triệu đồng, tịch thu một phần hoặc toàn bộ tài sản.",Luật Hình sự
